   1 AD authentication	VPNs
   1 Gh0st RAT	the malware
   1 GmRemote sample	VTI
   1 Google Play	Google Play Store
   2 Google Apps services	access
   1 GracS	the computer
   1 Groups	Hidden Lynx
   1 HDD	plugin
   1 HEUR Exploit	flash exploit
   1 HEUR Trojan	ScarCruft
   1 HEUR Trojan	attacks
   1 HMI applications	Advantech WebAccess
   1 HMI applications	GE CIMPLICITY
   1 HMI applications	Siemens SIMATIC
   1 HTTP	handshake
   1 HTTP POST request	the malware issues
   1 HTTP REPLY	BS2005
   1 HTTP request	the following
   1 HTTPS requests	the following
   1 HURRICANE PANDA	CrowdStrike
   1 Hackers Attack	Online
   1 Hacktool	samples
   1 Havex versions	the system
   1 Hide rules	the accessed artifact path matches
   1 Hong Kong	James
   1 ICS	Stuxnet
   1 ICS construction	high level government
   1 ICS hardware	PLCs
   1 ICS hardware	modules
   1 ICS hardware	peripherals
   1 IDS	Snort
   1 IDS	Suricata
   1 IE user	Create process
   1 IM software	Mail
   1 IO data	backhaul
   1 IO data	comparison
   1 IO data	independent sensing
   1 IP	softinc 
   2 IP	the loopback address
   1 IPs	IPs
   1 IPv6 network	CERNET
   1 IT Infrastructure	a log
   1 IT companies	Apple
   1 IT companies	Facebook
   1 IT companies	Microsoft
   1 IT companies	Twitter
   1 IT details	movies
   1 IT details	passwords
   1 IT details	usernames
   1 IXESHE variants	security vendors
   1 InfoSec Analyst	Working
   1 Integerize sub 44C1C0	this function
   1 Internet	HTRAN
   1 Internet	HTran
   1 Internet Explorer	malicious traffic
   1 Internet Web site	URL
   1 Internet connectivity	a webserver
   1 Internet content delivery	Google
   1 Internet data	browser plugins
   1 Internet data	web browsers
   2 Internet	pwdump
   2 Internet website	URL
   1 Iran	a gas pipeline
   1 Islamic issues	Chechnya
   1 Islamic issues	Russia
   1 Israeli websites	this educational website http
   1 Items	the land attack cruise missile
   1 J	Command A B D E J R Meaning Same
   1 J	J K M N R Meaning Same
   2 J	S Same
   1 JPEG File	Response
   1 JPG image	the file
   1 JRE	Apple Mac OS X
   1 JRE	Linux
   1 JRE	VMWare
   1 JRE	others
   1 JS	ESET detects
   1 JSON blob	miniDionis
   1 Japanese ritual suicide	a form
   1 Jason Fritz free software	Tor
   1 Java Applications Descriptor	The initial download
   1 JavaScript file	question
   1 Just	some security researchers
   1 KEEPALIVE connection	The fi rst connection
  17 KHTML	Gecko
   1 Kaspersky Lab codename	Bluenoroff
   1 Kernel routine	ObReferenceObjectByHandle
   1 Kernel32 DLL	the filename
   1 Kim	OS X environment
   1 Kimsuky	the same way
   1 Kopiluak	Kaspersky
   1 KorDllbot	the same source base
   1 Kremlin coordination	some sort
   1 Lazarus Group	SPE
   1 Legspin backdoor	dates
   1 Linux distribution	Kali Linux
   1 Linux targets	Azzy
   1 Linux targets	Coreshell
   1 Linux targets	Jhuhugit
   1 LoadLibraryW	any malicious module
   1 Looks	an upgrade
   1 MD subcommand	Same
   1 MH370	Office
   1 MSIL	This payload
   1 MachBot controller	C server
   1 Magic Hound	regular portable executable
   1 Mansoor	the same version
   1 March	the loader
   1 Maudi	vendors
   1 Maudi dropper	The decoded file
   1 Md5 hash	ID
   1 Metasploit framework	Meterpreter
   1 Metasploit reverse shell	the shellcode payload
   1 Microsoft	VOHO
   1 Microsoft Antispyware	The component posing
   1 Microsoft Office application	Word
   1 Microsoft Office file	The attachment
   1 Microsoft Visual Studio	Yaser Balaghi
   1 Microsoft Visual Studio	starters
   1 Microsoft Windows native application	This file
   1 Microsoft Word document	the attachment
   1 Microsoft Word document	the message
   1 Microsoft Word document	this case
   1 Microsoft products	the rest
   1 Microsoft technologies	COM
   1 Microsoft technologies	OLE
   2 Microsoft Internet Explorer	cve
   2 Microsoft products	Internet Explorer
   1 Middle Eastern governments	Egypt
   1 Middle Eastern governments	Israel
   1 Middle Eastern media organizations	Eln News
   1 Middle Eastern media organizations	Wattan TV
   1 Middle Eastern media organizations	http
   1 MiniDuke	HammerDuke
   1 MiniDuke	the same development environment
   1 MiniDuke	the same loader
   1 Mitigation strategies	defense
   1 MobileOrder	Trojan
   1 Moonlight	attackers
   1 Moscow	the future
   1 Moscow	the same time zone
   1 Myanmar	Mynamar government
   1 Myanmar	government
   1 NATO CCD COE adviser	Liisa Past
   1 NATO ally	Estonia
   1 NDIS	Driver
   1 NGO	foundations
   1 NGOs	EIPR
   1 NGOs	rights organizations
   1 NSO Group	Mexican journalist Rafael Cabrera
   1 NetWire	the final payload
   3 NetWire	the payload
   1 Nordic countries	Denmark
   1 Nordic countries	Finland
   1 Nordic countries	Iceland
   1 Nordic countries	Norway
   1 Nordic countries	Sweden
   1 North Korea	DDoS
   1 North Korea	Intelsat connection
   1 North Korea	West
   1 North Korea	destructive malware
   1 North Korea	ransomware attacks
   1 North Korea	the widespread use
   1 North Korea	time
   1 Notepad act	Notepad
   1 Novorossiya	Ukraine
   1 OHHDL systems	Dalailama
   1 OS information	serial number
   1 OSBoot	this section
   1 OSX	Symantec
   1 OnionDuke	CozyDuke
   1 OnionDuke	conventions
   1 OnionDuke	the same platform
   1 Operation	tools
   1 Opposition	advanced knowledge
   1 Oracle	the same day
   3 Organization Reference Volume v1	Liberation Army
   1 Organizations	individuals
   1 Other cyberespionage groups	Black Vine
   1 Other threat actors	DustySky
   1 Others	DarkComet
   1 PAGE EXECUTE READWRITE	sections
   1 PE	the next step
   1 PE DLL module	the second stage loader
  13 PE EXE file	The file
   1 PE32	infected system the payload
   1 PE32	the file
   1 PHP scripting language	Drupal
   1 PHP scripting language	MediaWiki
   1 PHP scripting language	WordPress
   1 PHP scripting language	attackers
   1 PLA soldiers	procedures
   1 PLAN	the backbone
   1 PLCSIM	the use
   1 POST request	The actual contact
   1 POST requests	the following
   1 PUTTER PANDA	CrowdStrike
   1 PYLOT	the following
   1 Persona	Appendix F Personas
   1 Phishing Lure Content	APT30 Leverages Major Political Transition
   1 PinchDuke	the same team
   1 PinchDuke	the same time
   1 PlayfullDragon	Kaspersky Lab
   1 PlayfullDragon	instance
   1 PoS malware	files
   1 Poison Ivy server	the running service
   1 PowerPoint file	The sample
   1 PowerPoint presentation file	the attack vector
   1 PowerPoint slideshow file	this analysis
   1 PowerShell	responses
   1 PowerShell command	The server response
   1 PowerShell script	payload
   1 PowerShell script Figure	the exploit document
   1 Powerpoint	The lure document
   1 Prikormka malware	C
   1 Prikormka malware	malware architecture
   1 Principal Cyber Threat	Russia Tops China
   1 Professor	Jarno Limnéll
   1 Profibus DP devices	Master Class
   1 Profiles	Leader personas
   1 Profiles	Supporter personas
   1 Proxy settings	address
   1 Python	ESET products
   1 Python	payload
   1 Python script	Below
   1 RAMNY	URL format
   1 RAND monographs	Brandishing Cyberattack Capabilities
   1 RAND monographs	Crisis
   1 RAND monographs	Escalation
   1 RAR	the pornographic material
   1 RAR archive	the target The attachment
   1 RAR files	the form
   1 RAT	the ability
   1 RAT	v1
   1 RAT file bound	JPG icon
   1 RAT functionality	remote access
   2 RAT functionality	file management
   1 RATs	DRAT
   1 RATs	Fallaga
   1 RATs	Gh0st RAT
   1 RATs	GlassRAT
   1 RATs	Hupigon
   1 RATs	Poison Ivy
   1 RATs	file transferring
   1 RATs	file transfers
   1 RATs	key logging
   1 RATs	password theft
   1 RATs	screen capturing
   1 RATs	system administration
   1 RATs	traffic relaying
   1 RATs	video capturing
   2 RATs	DarkComet
   2 RATs	Gh0st
   4 RATs	PoisonIvy
   1 RBN operative	Georgia
   1 RC4 algorithm	FakeM SSL
   1 RCS	Identification
   1 RDN	this threat
   1 README file	the lankiller archive
   1 REG MULTI SZ value	Each value
   1 RIPTIDE	Etumbot backdoor
   1 RPC	control
   1 RSA	the same way
   1 RSA NetWitness capabilities	ESA
   1 RSA NetWitness capabilities	refer
   1 RST	the form
   1 RTB ads	Facebook
   1 RTB ads	Twitter
   1 RUMINT	the attribution grapevine
   1 RUMINT	the sort
   1 RarSFX archive	The dropped file
   1 Red October	the minimalistic approach
   1 Red October Just	Red October
   1 Red October Just	TeamSpy components
   1 Regin	P constant
   1 Remote Access Tools	Poison Ivy
   1 Research Fellow	John Scott Railton
   1 Rocket Kitten	the cybersecurity industry
   1 Rootkit	antivirus engine
   1 Russia	FANCY BEAR
   1 Russia	GOTHIC PANDA
   1 Russia	HURRICANE PANDA
   1 Russia	Moscow
   1 Russia	St
   1 Russia	a list
   1 Russia	an advertisement
   1 Russia	the Ukrainian conflict
   1 Russia	the scale
   1 Russia	volunteer cyber expertise
   1 Russian information security	Information Security Doctrine
   1 Russian submarine builders	advanced wielding
   1 SFX files	the form
   1 SHA1 hash	The generated key
   1 SIM state	device
   1 SLServer	the malware
   1 SLServer	the malware family
   1 SNI field domain name	certificate fields
   1 SPACESHIP	files
   1 SPACESHIP	method
   1 STUXNET	operations
   1 Safengine Licensor	the packer
   1 SeaDuke	similar use cases
   1 Search engines	Bing
   2 SecDev Group associate	Greg
   1 Security Response Manager	authors Stephen Doherty
   1 Sednit components	Seduploader
   1 Sedreco	the same address space
   1 Seems	the developer
   1 Seems	this sleep
   1 Servant Shell	developers
   1 ShadowTech RAT	the implant
   1 Shockwave Flash	attacks
   1 SierraJuliett	the same public key
   1 Sinkholed Much	the first stage C2
   1 Skelky	the same time
   1 Smaller countries	Estonia
   1 Smaller countries	Finland
   1 Sofacy	the German government
   1 Sofacy	victims
   1 Software	Dynapass
   1 Software	Freegate
   1 Software	Garden Networks
   1 Software	Ultrasurf
   1 Some information	the task name
   1 Some network protocols	IEC
   1 South Korea	West
   1 Southeast	China
   1 Soviet Union	defense attaches
   1 Soviet Union	dissidents
   1 Soviet Union	figures
   1 Soviet Union	governments
   1 Soviet Union	media entities
   1 Soviet Union	militaries
   1 Standard Windows primitives	Events
   1 State actors	Russia
   1 Stealer variant	This sample
   1 Stone Panda	CrowdStrike
   1 Strategic information	contact details
   1 Strategic information	intellectual property
   1 Stuxnet	PLC code
   1 Stuxnet	similar target systems
   1 Stuxnet	the same code
   1 Stuxnet	the same manner
   1 Stuxnet	timestamps
   1 Success	Hybrid Warfare
   1 SunOrcal	the family
   1 SunOrcal	this malware
   1 Sunday	fact
   1 Suspected C	ESA
   1 Suspected C	ESA identifies
   1 Suspected C	Kingslayer beaconing
   1 Swisyn	antivirus
   1 Symantec products	Symantec Endpoint Protection
   1 SymantecLiveUpdate	SymantecUpdate
   1 Syrian	a user
   1 T9000	this backdoor
   1 TA459	China
   1 TCP HBEAT REQUEST TROJ DRPBEAT	the network layer
   1 TCP beaconing	the form
   1 TCP protocol	the addition
   1 TROJ  STRPADT	Detected
   1 TROJ GHOLE	the malware
   1 TROJ GUPD	Trend Micro
   1 TROJ WIMMIE	Trend Micro
   1 TROJ YAHOYAH	Trend Micro
   1 TSPY RAMNY	the same download link pattern
   1 Targeted Exploitation	C2
   1 Tavdig	the same technique
   1 TeamSpy	heart
   1 TeamViewer	the same folder
   1 Techniques	phishing
   1 Technologies available today	Deep Discovery
   1 Terracotta	RSA
   1 The infection site tests	the victim
   1 The underlying infrastructure	components
   1 The weaponised document sites	cnmilit
   1 Tibetan groups	Dalai Lama
   1 Tibetan institutions	a computer system
   1 Tibetan organizations	Tibetan government
   1 Tibetan organizations	s office
   1 Tibetan targets	Dalai Lama
   1 Tools	PwDump
   1 Tools	Scanline
   1 Tools	Syser Debugger
   1 Tor Browsers	the reintroduced bug
   1 Tor exit node	servers
   1 Troj	Sophos
   1 Troj	this variant
   1 Trojan	FakeM Original CallMe CallMe
   1 Trojan	NetTraveler
   1 Trojan	PlugX
   1 Trojan	Regin platform
   1 Trojan	Stuxnet components
   1 Trojan	Symantec
   1 Trojan	Trojan
   1 Trojan	file
   1 Trojan	the ability
   1 Trojan	this group
   1 Trojan	this targeted attack
   1 Trojan	threats
   1 Trojan	variant
   1 Trojan backdoor	computer restart DustySky
   1 Trojan backdoor	core DustySky Core
   1 Trojan backdoor	this malware
   2 Trojan	Kaspersky
   2 Trojan	Kaspersky Lab products
   2 Trojan	the same time
   2 Trojan W32	detects CloudDuke
   1 Trojans	BiFrost
   1 Trojans	Dyreza
   1 Trojans	Elirks
   1 Trojans	MobileOrder
   1 Trojans	Poison Ivy
   1 Trojans	Psylo
   1 Tunisia	Gafsa
   1 Turla group	Carbon
   1 Type T	C infrastructure
   1 U	SEC
   1 U	Stuxnet
   1 UAE	imprisonment
   1 UAE	slavery
   1 UAE	the misuse
   1 UAE	torture
   1 UAE dissidents	Ahmed Mansoor
   1 UN Charter	the right
   1 US	Perrigo
   1 US electronics	cars
   1 US electronics	computers
   1 US electronics	phones
   1 US electronics	the power grid
   1 USB devices	removable flash drives
   1 USB file stealer	This file
   1 USENIX Security Symposium USENIX Association tion	obfuscation
   1 USENIX Security Symposium USENIX Association tion	packing
   1 Ukraine	DDoS attacks
   1 Ukraine	Kyiv 
   1 Ukraine	defacements
   1 Ukraine	information campaigns
   1 Ukraine	intimidation
   1 Ukraine	spurious legitimation
   1 Ukraine	the government
   1 Ukraine	the organisation
   1 Ukraine	the recent transformation
   1 Ukraine Crisis Spills	Cyberattacks Rise
   1 Ukrainian cyberspace	infrastructure
   1 Ukrainian cyberspace	telecommunications companies
   1 Ukrainians	government officials
   1 Ukrainians	services
   1 Ukrainians	use Russian mail
   1 Unicode languages	Arabic
   1 Unicode languages	Chinese
   1 Unit	Bureau
   1 Unknown	Comment
   1 UpDocX UpDocX	this malware
   1 Upload device information	IMEI
   1 Upload device information	IMSI
   1 Upload device information	SIM
   1 Uroburos	actors
   1 Uroburos	the installation log file name
   1 Use comprehensive security software	Norton Security
   1 VBS	TV5Monde attack
   1 VOHO campaign	phase
   1 VPN service	Terracotta
   1 Various stealth methods	DNS
   1 Various stealth methods	the aforementioned backconnect SSL
   1 Virus	Kaspersky Lab scanners
   1 W32	detection
   2 WS	files
   1 Web shells	Laudanum
   1 WhiskeyAlfa	Operation
   1 WhiskeyBravo	this operation
   1 WiFi networks	Service Set Identifier
   1 Win32	RTF exploit document
   1 Win32	binaries
   1 Win32	this threat
   1 Win32 PE executable file	Description The module
   2 Win32	ESET products
   1 WinSock2 calls	socket
   1 Windows	CVE
   1 Windows	Government Agency
   1 Windows	Windows Vista
   1 Windows	Windows server
   1 Windows	systems
   1 Windows DLL file	This module
   1 Windows PE DLL module	the next stage
   1 Windows Screensaver	fact the file
   1 Windows desktop application	C server
   1 Windows kernel driver	The first component
   1 Windows object	A mutex
   1 Windows versions	Windows
   2 Windows	Windows
   2 Windows executable	the malware
   3 Windows DLL file	The module
   1 Wingbird	Windows Defender
   1 Wingbird	the backdoor payload
   1 Winnti system	the engine
   1 Winnti system	the service
   1 Winnti system	the worker component
   1 Wiper	the same level
   1 Word document	The attachment
   1 World War C	any analogy
   1 World War II Soviet War memorial	Bronze Soldier monument
   1 X	DNS functionality
   1 X	config
   1 YARA signature	Displayed below
   1 Yahoo	Google
   1 Yahoo	implements SSL
   1 Yahoo	network traffic
   1 Yahoo	redirection
   1 Year Plan	green
   1 Yes	0
   1 Zapad	English
   1 a	Kaspersky blog
   1 a	capabilities
   1 a	malware
   1 a	no such thing
   1 a	obfuscated code
   1 a	s involvement
   1 a	the victim
   1 a	this move
   1 a China	APT10
   1 a China	Operation Cloud Hopper APT10
   1 a Russian	DCLeaks
   1 a Russian gang	a computer security firm
   1 a Russian influence operation	DCLeaks
   1 a U	statuses
   1 a back door	acts
   1 a backdoor	acting
   1 a backdoor compromise	Kingslayer
   1 a background process	access Twitter
   1 a backup	HAMMERTOSS
   1 a backup C	Twitter
   1 a backup domain	updates
   1 a bad actor	the server
   1 a basic reconnaissance tool	function
   1 a batch script	the payload
   1 a binary chunk	the driver
   1 a binary file	the same file name
   1 a binary module	a reply
   1 a binder	DropIt
   1 a bonus	media attention
   1 a boot start service	OS
   1 a broad instrument	tactics
   1 a browser	Chrome
   1 a buffer zone	North Korea
   1 a business deal	consultants
   1 a business deal	law firms
   1 a bystander	Russia
   1 a carrier	VMware drivers
   1 a censorship measure	GFWoC
   1 a client	Tranchulas website
   1 a client	boasts Telenor
   1 a client	company Y
   1 a client	the source
   1 a clue	attackers
   1 a code	the malware
   1 a command	DNS requests
   1 a command	Mail
   1 a command	Mail accounts
   1 a command	Palo Alto Networks
   1 a command	Same
   1 a command	local host acts
   1 a command line argument	C2 server address
   1 a command line argument	this random number
   1 a command line parameter	this value
   1 a command line shell	perform
   1 a command line shell	processes
   1 a commercial product	underground market
   1 a commonplace element	hacktivism
   1 a compile timestamp	Windows executables
   1 a complete framework	Uroburos
   1 a complete system	Driver
   1 a complex image request	the form
   1 a component	attackers
   1 a component	attacks
   1 a component	traditional cyber crime tools
   1 a computer security tool	a component
   1 a configuration	the maximum frequency
   1 a console client	PK2
   1 a console client	act
   1 a context	Afghanistan
   1 a context	this finding points
   1 a contributor	the individual
   1 a control	The first port acts
   1 a control	capabilities
   1 a copy	Meterpreter payload
   1 a copy	masquerades
   1 a correlation point	the new persistence mechanism
   1 a cost	fascinationwith cyber attacks
   1 a counterbalance	China
   1 a countermeasure	user interaction
   1 a country	the international community
   1 a critical communication element	DNS
   1 a cryptocontainer	the file
   1 a current state record	doubles
   1 a cyber	Deepwater Horizon incident
   1 a cyber	Iran
   1 a dangerous counter	American power
   1 a data exfiltration channel	DNS queries
   1 a data exfiltration method	email
   1 a decoy	Arabic themes
   1 a decoy	Cisco application
   1 a decoy	HTML code
   1 a decoy	PDF
   1 a decoy	Pakistani woman
   1 a decoy	Word document
   1 a decoy	document
   1 a decoy	legitimate filename
   1 a decoy	trusted security software
   1 a decoy document	the same time
   1 a decoy page	Yahoo
   1 a decryption key	this parameter
   1 a default	Factor Authentication
   1 a default	factor
   1 a default location	C
   1 a delivery mechanism	documents
   1 a delivery mechanism	technology
   1 a delivery method	Excel documents
   1 a delivery method	macros
   1 a delivery vector	Google Drive
   1 a delivery vector	Google Drive links
   1 a deputy head	work
   1 a detailed timestamp	minutes
   1 a different	Netwire RAT
   1 a dimension	Crimea
   1 a direct effort	software artifacts
   1 a distinct form	cyber warfare
   1 a diversion	public identity
   1 a dll	the form
   1 a document	legitimacy
   1 a dominant power	China
   1 a donor	that machine
   1 a down	GET request
   1 a down	serves
   1 a download page	Live
   1 a downloader	masquerades
   1 a downloader	serves
   1 a driver	the malware
   1 a dropper	the computer
   1 a dynamic library	a load
   1 a failsafe	multiple communication channels
   1 a failsafe mechanism	the firewall
   1 a fake	the email
   1 a fake disk filter driver	the driver
   1 a false flag	different group names
   1 a false flag	the language code
   1 a family	protocol design
   1 a file	data blobs
   1 a file	this socket
   1 a filtering mechanism	this technique
   1 a first language Emet	Hebrew
   1 a force multiplier	innocent game
   1 a foreign policy tool	armed force
   1 a form	the user
   1 a framework	Uroburos
   1 a front	use
   1 a fundamental need	security
   1 a fusion	a sort
   1 a game changer	the agreement
   1 a general precaution	sense
   1 a general service	the back door
   1 a good security practice	example
   1 a guide	Microsoft Security Intelligence Report
   1 a guide	s opinion
   1 a hacker	this malicious code
   1 a half	computer
   1 a headquarters component	acting
   1 a host	Google Code
   1 a key	stores a byte array
   1 a key	such functionality
   1 a key	that string
   1 a key component	that password
   1 a key facet	Cyber power
   1 a kind	this technique
   1 a language	C
   1 a last resort	place
   1 a launch point	the volume serial number
   1 a launcher	acts
   1 a launchpad	attackers
   1 a legitimate file	malware
   1 a legitimate message	attachment
   1 a lengthy operation history	attacks
   1 a likely culprit	an individual
   1 a likely culprit	organization
   1 a linked list	memory
   1 a list	modules
   1 a listener	the port
   1 a live command prompt cmd	the following process
   1 a loader	Link Library functioning
   1 a loader	acts
   1 a loader	serves
   1 a lure	Carla Bruni
   1 a lure	Cisco AnyConnect software
   1 a lure	Kenya
   1 a lure	SEC filing document
   1 a lure	Syria
   1 a lure	a fake conference page
   1 a lure	a prominent Egyptian lawyer
   1 a lure	this topic
   1 a lure	tools
